keys,en,ru,uz
signIn,Sign in,Вход,Tizimga kirish
enterYourCredentials,Enter your credentials to access the platform,Введите данные для входа в систему,Tizimga kirish uchun ma’lumotlaringizni kiriting
login,Log in,Логин,Login
password,Password,Пароль,Parol
continueButton,Continue,Продолжить,Davom etish
idText,ID,ID,ID
inCorrect,Incorrect,Неверно,Noto‘g‘ri
internalError,Internal error,Внутренняя ошибка,Ichki xatolik
home,Home,Главная,Bosh sahifa
timetable,Timetable,Расписание,Dars jadvali
marks,Marks,Оценки,Baholar
attendance,Attendance,Посещаемость,Davomat
more,More,Ещё,Yana
editProfile,Profile,Профиль,Profil
documents,Documents,Документы,Hujjatlar
libraryButton,Library,Библиотека,Kutubxona
faceID,FaceID security,Защита Face ID,Face ID orqali himoya
logout,Logout,Выйти,Tizimdan chiqish
auto,Auto,Авто,Avtomatik
light,Light,Светлая,Yorug‘
dark,Dark,Тёмная,Qorong‘i
noModulesAvailable,No Modules available,Модули недоступны,Modullar mavjud emas
somethingWentWrong,Something went wrong,Что-то пошло не так,Nimadir xato ketdi
yourModules,Your modules,Ваши модули,Sizning modullaringiz
today,Today,Сегодня,Bugun
module,Module,Модуль,Modul
absentHours,Absent hours,Часы отсутствия,Qoldirilgan soatlar
course,Course,Курс,Kurs
academicYear,Academic year,Учебный год,O‘quv yili
cancelButton,Cancel,Отмена,Bekor qilish
overallMark,Overal Mark,Итоговая оценка,Yakuniy baho
onlineLearning,Online learning,ОНЛАЙН ОБУЧЕНИЕ,Onlayn ta’lim
documentsWithCapital,Documents,ДОКУМЕНТЫ,Hujjatlar
noLessonsAddedYet,No lessons added yet,Уроки пока не добавлены,Hozircha darslar qo‘shilmagan
noOnlineLessonsAddedYet,No online lessons added yet,Онлайн-уроки пока не добавлены,Hozircha onlayn darslar qo‘shilmagan
all,ALL,ВСЕ,Barchasi
video,VIDEO,ВИДЕО,Video
noFilesToDownload,No files to download,Нет файлов для скачивания,Yuklab olish uchun fayllar yo‘q
noVideoFilesToDownload,No video files available,Видеофайлы недоступны,Video fayllar mavjud emas
noDocumentsToDownload,No documents available,Документы недоступны,Hujjatlar mavjud emas
profile,Profile,Профиль,Profil
search,Search,Поиск,Qidirish
filterByCategory,Filter by category,Фильтр по категории,Kategoriya bo‘yicha saralash
passcodeWasRemoved,Passcode was removed,Код-пароль удалён,Parol kodi o‘chirildi
turnPasscodeOn,Turn passcode on,Включить код-пароль,Parol kodini yoqish
changePasscode,Change Passcode,Изменить код-пароль,Parol kodini o‘zgartirish
enterNewPasscode,Enter new passcode,Введите новый код-пароль,Yangi parol kodini kiriting
confirmNewPasscode,Confirm new passcode,Подтвердите новый код-пароль,Yangi parol kodini tasdiqlang
passcodeWasSuccessfullyChanged,Passcode was successfully changed,Пароль успешно изменён,Parol muvaffaqiyatli almashtirildi
passcodesDoNotMatch,Passcodes do not match,Пароли не совпадают,Parollar mos kelmaydi
passcodeWasSuccessfullyCreated,Passcode was successfully created,Пароль успешно создан,Parol muvaffaqiyatli yaratildi
signOut,Sign Out?,Выйти?,Tizimdan chiqish?
doYouWannaSignOut,Do you want to sign out from the system,Вы хотите выйти из системы?,Tizimdan chiqmoqchimisiz?
yes,Yes,Да,Ha
no,No,Нет,Yo‘q
documentType,Document type,Тип документа,Hujjat turi
documentNumber,Document number,Номер документа,Hujjat raqami
date,Date,Дата,Sana
download,Download,Скачать,Yuklab olish
editText,Edit (short),Ред.,Tahrir
phone,Phone,Телефон,Telefon
address,Address,Адрес,Manzil
pleaseEnterValue,Please enter value,"Пожалуйста, введите значение","Iltimos, qiymatni kiriting"
editTextFull,Edit (full),Редактировать,Tahrirlash
saveButton,Save,Сохранить,Saqlash
noResultsText,No Results,Нет результатов,Natijalar yo‘q
finalGrade,Final Grade,Итоговая оценка,Yakuniy baho
enterCurrentPasscode,Enter current passcode,Введите текущий пароль,Joriy parolni kiriting
success,Success,Успех,Muvaffaqiyatli
incorrectPasscode,Incorrect passcode,Неправильный пароль,Noto‘g‘ri parol
enterPasscode,Enter passcode,Введите пароль,Parolni kiriting
month,Month,Месяц,Oy
week,Week,Неделя,Hafta
pleaseEnterID,Please enter your student id,"Пожалуйста, введите свой ID","Iltimos, talaba ID raqamingizni kiriting"
pleaseEnterPassword,Please enter your password,"Пожалуйста, введите ваш пароль","Iltimos, parolingizni kiriting"
timetableGroup,Group,Группа,Guruh
timetableTeacher,Teacher,Преподаватель,O‘qituvchi
timetableRoom,Room,Комната,Xona
academicYearSelection,Select Academic year,Выберите учебный год,O‘quv yilini tanlang
assigned,Assigned,Назначенные,Tayinlangan
created,Created,Созданные,Yaratilgan
errorOccured,error occurred,Произошла ошибка,Xatolik yuz berdi
createButton,Create,Создать,Yaratish
editInquiry,Edit an inquiry,Редактировать запрос,So‘rovni tahrirlash
createInquiry,Create an inquiry,Создать запрос,So‘rov yaratish
addItem,Add Item,Добавить элемент,Qo‘shish
pleaseEnterTitleAndDescription,Please enter title and description of the inquiry,"Пожалуйста, введите название и описание запроса","Iltimos, so‘rovning nomi va tavsifini kiriting"
title,Title,Заголовок,Sarlavha
description,Description,Описание,Tavsif
recepient,Recipient,Получатель,Qabul qiluvchi
staff,STAFF,ПЕРСОНАЛ,XODIMLAR
recepientGroup,Recipient group,Группа получателей,Qabul qiluvchilar guruhi
amount,Amount,Количество,Miqdori
selectUnit,Select Unit,Выберите единицу измерения,Birlikni tanlang
submitButton,Submit,Отправить,Yuborish
actionButton,Action,Действие,Amal
changeLog,Change log,Журнал изменений,O‘zgarishlar jurnali
involvedUsers,Involved users,Вовлечённые пользователи,Ishtirokchilar
staffFrom,From,От,Kimdan
staffTo,To,К,Kimga
filterByStatus,Filter by status,Фильтровать по статусу,Holat bo‘yicha filtrlash
meetingDate,Meeting date,Дата встречи,Uchrashuv sanasi
comment,Comment,Комментарий,Izoh
today,Today,Сегодня,Bugun
tomorrow,Tomorrow,Завтра,Ertaga
newxtWeek,Next week,На следующей неделе,Keyingi hafta
saveAsTemplate,Save as template,Сохранить шаблон,Shablon sifatida saqlash
quickReply,Quick reply,Быстрый ответ,Tezkor javob
inspector,Inspector,Инспектор,Tekshiruvchi
selectRecipient,Select recipient,Выберите получателя,Qabul qiluvchini tanlang
removeButton,Remove,Удалить,O‘chirish
chooseAction,Choose Action,Выбрать действие,Amalni tanlang
deleteButton,Delete,Удалить,O‘chirish
name,Name,Имя,Ism
unit,Unit,Единица,Birlik
selectUser,Select User,Выберите пользователя,Foydalanuvchini tanlang
position,Position,Должность,Lavozim
department,Department,Отдел,Bo‘lim
selectButton,Select,Выбрать,Tanlang
confirmButton,Confirm,Подтвердить,Tasdiqlash
cantbeEmpty,Can’t be empty,Не может быть пустым,Bo‘sh bo‘lishi mumkin emas
inquiryWasSuccessfullyDeleted,Inquiry was successfully deleted,Запрос успешно удалён,So‘rov muvaffaqiyatli o‘chirildi
inquiryUpdated,Inquiry successfully updated,Запрос успешно обновлён,So‘rov muvaffaqiyatli yangilandi
inquiryCommentPosted,Comment template is successfully created!,Шаблон комментария успешно создан!,Izoh shabloni muvaffaqiyatli yaratildi!
errorHappened,Error happened,Произошла ошибка,Xatolik yuz berdi
mon,MON,ПН,DU
tue,TUE,ВТ,SE
wed,WED,СР,CHO
thu,THU,ЧТ,PAY
fri,FRI,ПТ,JU
sat,SAT,СБ,SHA
selectValue,Select value,Выберите значение,Qiymatni tanlang
staffSettings,Settings,Настройки,Sozlamalar
attachments,Attachments,Файлы,Qo‘shimchalar
open,Open,Открыть,Ochish
ifFormatNotSupported,"If format is not supported, long press on the icon","Если формат не поддерживается, нажмите и удерживайте значок","Agar format qo‘llab-quvvatlanmasa, belgini uzoq bosib turing"
core,Core,Основной,Asosiy
credits,Credits,Кредиты,Kreditlar
semester,Semester,Семестр,Semestr
aboutTheApp,About the app,О приложении,Ilova haqida
appVersion,App Version,Версия приложения,Ilova versiyasi
appName,App Name,Имя приложения,Ilova nomi
aboutUs,About us,О нас,Biz haqimizda
customizableLMS,Customizable LMS for Universities,Система управления обучением для университетов (LMS),Ta’limni boshqarish tizimi (LMS)
ourWebsite,Our website,Наш сайт,Bizning veb-sayt
chooseLanguage,Choose language,Выберите язык,Tilni tanlang
next,Next,Далее,Keyingi
fieldsCantbeEmpty,Fields can’t be empty,Поля не могут быть пустыми,Maydonlar bo‘sh bo‘lishi mumkin emas
language,Language,Язык,Til
canteen,Canteen,Столовая,Oshxona
shop,e-Shop,Е-магазин,Elektron do‘kon
inStock,In stock,В наличии,Mavjud
add,Add,Добавить,Qo‘shish
featureWillBeAvailableSoon,Feature will be available soon,Функция будет доступна в ближайшее время,Xususiyat tez orada ishga tushadi
shopSizes,Sizes,Размеры,O‘lchamlar
shopColors,Colors,Цвета,Ranglar
downloadStudyMaterials,Download study materials and e-books.,Учебные материалы и книги.,O‘quv materiallari va elektron kitoblar.
attendanceHistory,Attendance history,История посещений,Davomat tarixi
trackAttendanceRecords,Track attendance records.,Отслеживайте записи посещений.,Davomat yozuvlarini kuzatib boring.
viewCanteenMenu,View canteen menu and prices.,Просматривайте меню и цены в столовой.,Oshxona menyusi va narxlarini ko‘ring.
buyStudyMaterials,Buy study materials and accessories.,Купите учебные материалы.,O‘quv materiallari va aksessuarlarni sotib oling.
view,View,Посмотреть,Ko‘rish
email,Email,Электронная почта,Elektron pochta
notifications,Notifications,Уведомления,Bildirishnomalar
topics,Discussion’s topics,Темы для обсуждения,Munozara mavzulari
discussion,Discussion,Дискуссия,Muhokama
reply,Reply,Ответить,Javob berish
addComment,Add a comment...,Добавить комментарий...,Izoh qo‘shish...
noMessagesYet,No messages yet,Сообщений пока нет,Hali hech qanday xabar yo‘q
startAConversation,"Start a conversation with your teacher. Ask questions, share updates.","Начните разговор с учителем. Задавайте вопросы, делитесь новостями.","O‘qituvchingiz bilan suhbatni boshlang. Savollar bering, yangiliklarni baham ko‘ring."
support,Support,Поддержка,Qo‘llab-quvvatlash
moduleCode,Code,Код,Kod
inquiriesTab,Inquiries,Запросы,So‘rovlar
payments,Payments,Платежи,To‘lovlar
viewYourPaymentData,View your payment data,Просмотрите свои платежные данные,To‘lov ma’lumotlaringizni ko‘ring
debitTotalAmount,Total amount,Общая сумма,Umumiy miqdor
debitPaidAmount,Paid amount,Оплаченная сумма,To‘langan miqdor
debitRemainingAmount,Remaining amount,Остаток,Qolgan miqdor
paymentAcademicYear,Academic year,Академический год,O‘quv yili
paymentDebit,Debit,Дебет,Debit
paymentStatus,Status,Статус,Holat
paymentsDetails,Details,Детали,Tafsilotlar
paymentMainContractAmount,Main contract amount,Основная сумма контракта,Asosiy shartnoma miqdori
paymentsSuperContractAmount,Super contract amount,Сумма суперконтракта,Super shartnoma miqdori
paymentsParts,Parts,Части,Qismlar
paymentsDeadline,Payment deadline,Срок оплаты,To‘lov muddati
contractName,Contract name,Название контракта,Shartnoma nomi
modules,Modules,Модули,Modullar
noTopicsWereCreatedYet,No topics have been created yet,Темы пока не созданы,Mavzular hali yaratilmagan
filter,Filter,Фильтр,Filtr
filterByWeek,Filter by week,Фильтровать по неделе,Hafta bo‘yicha filtrlash
teachingWeek,Teaching week,Учебная неделя,Ta’lim haftasi
enterYourCredentials,Enter your credentials to access the platform,Введите свои учетные данные для доступа к платформе,Platformaga kirish uchun ma’lumotlaringizni kiriting
login,Login,Вход,Tizimga kirish
password,Password,Пароль,Parol
continueButton,Continue,Продолжить,Davom etish
signInWith,Sign in with,Войти с помощью,Orqali kirish
maybeLater,May be later,Может быть позже,Keyinroq
byUsingThisApp,"By using this app, you agree to our Terms and Conditions.","Используя это приложение, вы соглашаетесь с нашими Условиями и положениями.",Ushbu ilovadan foydalanish orqali siz bizning shartlarimizga rozilik bildirasiz.
chooseLanguage,Choose language,Выберите язык,Tilni tanlang
language,Language,Язык,Til
cities,Cities,Города,Shaharlar
places,Places,Места,Joylar
usefulApps,Useful apps,Полезные приложения,Foydali ilovalar
articles,Articles,Статьи,Maqolalar
search,Search...,Поиск...,Qidirish...
favorites,Favorites,Избранное,Sevimlilar
viewAll,View all,Просмотреть все,Hammasini ko‘rish
startYourAdventure,Start your adventure along the Silk Road — discover the wonders of Uzbekistan!,Начните свое приключение по Шелковому пути — откройте для себя чудеса Узбекистана!,Ipak yo‘li bo‘ylab sarguzashtingizni boshlang — O‘zbekiston mo‘jizalarini kashf eting!
